State,Cycle,District,StateDistrict,FEC_ID,Cand_Name,Gen_Votes,Gen_Vote_Pct,Winner,PartyName,Party,Incumbent,PresYear,PartyInPres,TotDistVotes,TotDistDisb,TotDisb,CandinDist
IL,2012,5,IL-5,H0IL05096,"Quigley, Mike",177729,0.6573,1,Democrat,0,1,1,1,270377,709853.55,703729.55,2
NY,2014,14,NY-14,H8NY07046,"Crowley, Joseph",45370,0.7931,1,Democrat,0,1,0,1,57204,2668960.13,2668960.13,1
NY,2006,7,NY-7,H8NY07046,"Crowley, Joseph ",60266,0.7907,1,Democrat,0,1,0,0,76217,1505482.78,1505482.78,1
IL,2010,8,IL-8,H0IL08090,"Walsh, Joe ",98115,0.4847,1,Republican,1,0,0,0,202435,3076250.60,624902.84,2
WY,2006,0,WY-0,H4WY00055,"Cubin, Barbara",93336,0.4827,1,Republican,1,1,0,1,193369,2208770.34,1268585.05,2
IL,2012,13,IL-13,H2IL13120,"Davis, Rodney #",137034,0.4655,1,Republican,1,0,1,0,294385,2729031.50,1383023.66,3
IL,2008,10,IL-10,H0IL10120,"Kirk, Mark Steven",153082,0.5256,1,Republican,1,1,1,0,291258,9015540.32,5449412.09,2
IL,2006,10,IL-10,H0IL10120,"Kirk, Mark Steven",107929,0.5338,1,Republican,1,1,0,1,202208,5395776.11,3512977.03,2
IL,2004,10,IL-10,H0IL10120,"Kirk, Mark Steven",177493,0.6414,1,Republican,1,1,1,1,276711,1742057.20,1653534.51,2
IL,2010,10,IL-10,H0IL10302,"Dold, Robert",109941,0.5108,1,Republican,1,0,0,0,215232,5845825.06,2903831.11,2
OR,2012,4,OR-4,H6OR04047,"DeFazio, Peter A.",212866,0.5911,1,Democrat,0,1,1,1,360088,2638851.25,1401801.78,2
OR,2010,4,OR-4,H6OR04047,"DeFazio, Peter A.",162416,0.5449,1,Democrat,0,1,0,1,298052,2800269.67,1484241.19,2
IL,2014,10,IL-10,H0IL10302,"Dold, Robert",95992,0.5130,1,Republican,1,0,0,0,187128,8502923.44,3648085.17,2
IL,2010,11,IL-11,H0IL11052,"Kinzinger, Adam",129108,0.5735,1,Republican,1,0,0,0,225127,4336402.95,1827191.99,2
IL,2012,16,IL-16,H0IL11052,"Kinzinger, Adam",181789,0.6181,1,Republican,1,1,1,0,294090,2004667.11,1972829.81,2
IL,2014,16,IL-16,H0IL11052,"Kinzinger, Adam ",153388,0.7062,1,Republican,1,1,0,0,217198,1391731.30,1377467.14,2
